question,id,question_id,language,comment,label,numerical_label,author,topic
Sollte die Schweiz ein Freihandelsabkommen mit den USA schließen?,17296,3469,fr,Die Kommission hat die Kommission mit der Kommission über die Durchführung der Richtlinie über die Verringerung der Verletzung von Verletzungen von Erzeugnissen in der Gemeinschaft übermittelt.,FAVOR,100,79809a69cf66,Foreign Policy
Sind Sie für eine Erhöhung des Rentenalters (z.B. auf 67 Jahre)?,17548,3412,fr,"Um das Niveau unserer Renten zu halten, müssen die Bevölkerungsentwicklung berücksichtigt werden, indem das Rentenalter flexibel gestaltet wird.",FAVOR,75,1bd7dcee5bfc,Welfare
Sollte der Staat seine finanzielle Unterstützung für die Schaffung von Außengehörigen-Zufluchtseinrichtungen verstärken?,17549,3413,fr,"Um allen Eltern das Arbeiten zu ermöglichen und damit ihre Ausbildung zu nutzen, und um Berufs- und Familienleben besser zu vereinbaren, muss die öffentliche Kinder Handkrippen, Tagesstrukturen, Betreuungsangebote und Mittagstische unterstützen, die Kinder Kinder unterstützen.",FAVOR,100,1bd7dcee5bfc,Welfare
"Die Kommission hat sich in der Lage gemacht, die Kommission zu unterstützen, die Kommission zu unterstützen.",17550,3414,fr,"Die jungen Eltern müssen in der Lage sein, sich gemeinsam mit ihren neugeborenen Kindern zu kümmern.",FAVOR,100,1bd7dcee5bfc,Welfare
Sollten die Renten der Rente an die Verlängerung der Lebenserwartung angepasst werden (Verringerung des Umrechnungstests)?,17551,3415,fr,Die Abnahmen aufgrund einer geänderten Umrechnungsschwelle müssen durch ein System von Steuervorteilensparungen und -investitionen - auch für niedrige Einkommen - ausgeglichen werden.,FAVOR,75,1bd7dcee5bfc,Welfare
"Unterstützen Sie die Maßnahmen auf Kantonebene, um Sozialhilfe zu reduzieren?",17552,3416,fr,Die Sozialhilfe ist das letzte Auffangnetz für benachteiligte Personen. Sie befindet sich bereits am Existenzminimum und kann nicht sinnvoll gekürzt werden.,AGAINST,25,1bd7dcee5bfc,Welfare
Sollte die Konföderation den Bau von Wohnungen für den öffentlichen Gebrauch weiter fördern?,17553,3417,fr,"Innovative Modelle wie Immobilien-Kooperationen sind eine attraktive Lösung für junge Familien, ältere Menschen und Mittelstand können von gemeinnützigen Wohnmodellen profitieren.",FAVOR,75,1bd7dcee5bfc,Welfare
Sollte der Staat sich stärker für eine Gleichberechtigung der Bildungschancen einsetzen (z.B. durch subventionierte Nachholkurse für Schüler aus niedrigen Einkommen)?,17559,3423,fr,"Die öffentliche Schule ist der beste Garante für eine Bildung, die Chancengleicheit fördert. Der Staat soll eine erste Stelle sein Schulen stärken, bevor er zusätzliche Subventionen an Private ausschüttet.",AGAINST,25,1bd7dcee5bfc,Education
"Glauben Sie, dass es gerecht ist, dass Schulen Schulvergünstigungen für bestimmte Themen oder Veranstaltungen (z. B. Sport oder Sexualerziehung) aus religiösen Gründen gewährt?",17560,3424,fr,Glaube und religiöse Überzeugungen sind ein wesentlicher Bestandteil der persönlichen und familiären Identität. Ein gewisser Respekt vor diesen Bedürfnissen ist normal.,FAVOR,75,1bd7dcee5bfc,Education
"Die Integrationsschule sieht vor, Kinder mit Lernschwierigkeiten oder Behinderungen in den normalen Klassen zu schulen.",17562,3426,fr,Die meisten Behinderten Kindern integrieren sich problemlos in der Regelklassen der Schule und profitieren vom Austausch und den Kontakten in diesem regulären Rahmen.,FAVOR,75,1bd7dcee5bfc,Education
"Würden Sie dafür sprechen, dass die Wahlrechte für Ausländer, die in der Schweiz seit mindestens zehn Jahren wohnen, auf Gemeindeebene eingeführt werden?",17563,3427,fr,"Die politische Mitbestimmung ist ein ausgezeichnetes Integrationsinstrument und funktioniert sehr gut in den Gemeinden und Kantonen, die dies bereits zulassen (wie z.B. in Freiburg).",FAVOR,75,1bd7dcee5bfc,Immigration
Hat die Einwanderungsbeschränkung für Sie eine Priorität über die Aufrechterhaltung der bilateralen Abkommen mit der EU?,17564,3428,fr,"Die Vorteile der ""bilateralen Wege"" zu reden, müsste die Schweiz ohne Immigration die meisten Spitäler schliessen, fast alle Hotels und Restaurants, viele Bauernbetriebe - und zahlreiche Wirtschaftszweige hätten Einbussen zu Erleiden",AGAINST,0,1bd7dcee5bfc,Immigration
Sollten unpapierte Personen einen regelmäßigen Aufenthaltsstatus leichter erhalten können?,17565,3429,fr,Alle Härtefälle sind mit Menschlichkeit und Proportionalität zu behandeln.,AGAINST,25,1bd7dcee5bfc,Immigration
Sollte der Konsum von Cannabis legalisiert werden?,17566,3392,fr,Die Signalwirkung einer Legalisierung wäre nicht gut: Cannabis-Konsum in Gerichtsverfahren Alter kann ich nach Veranlagung schnell zu langfristig problematischen psychotischen Störungen führen.,AGAINST,25,1bd7dcee5bfc,Society
"Würden Sie dafür sprechen, dass ein Arzt in der Schweiz die direkte aktive Euthanasie erlaubt?",17567,3435,fr,"Dies wäre mit dem Eid, den ein/e Arzt/Ärztin leister nicht oder kaum vereinbar.",AGAINST,25,1bd7dcee5bfc,Society
Sind Sie für eine weitere Reduzierung der Beiträge der finanziell starken und schwachen Kantone im Rahmen der finanziellen Gleichstellung?,17568,3437,fr,Solidarität gilt auch für die Finanzpolitik in unserem Land.,AGAINST,25,1bd7dcee5bfc,Finances
Sind Sie für eine Begrenzung des Wettbewerbs zwischen den Kantonen in Bezug auf die Steuervergabe von Unternehmen?,17569,3439,fr,"Die Wettbewerbsfähigkeit ist eine Art und Weise, wie sie sich auf die Wettbewerbsfähigkeit auswirkt.",AGAINST,25,1bd7dcee5bfc,Finances
"Sind Sie für die Einführung eines Mindestlohns von CHF 4000 für alle Personen, die für eine Vollzeitstelle arbeiten?",17570,3441,fr,Die Idee des Grundgehalts scheint mir interessanter als ein künstlich festgelegter Mindestlohn wäre die Idee eines Grundgehalts.,AGAINST,25,1bd7dcee5bfc,Economy
Sollte die Schweiz das Schengen-Abkommen mit der EU beenden und mehr Kontrollen direkt an den Grenzen wieder einführen?,17573,3398,fr,Das Schengenabkommen liest einen wichtigen Beitrag zur Sicherheit und zur Verbrechensbekämpfung in der Schweiz. Die einheitlichen Visumsregeln sind für die Tourismusbranche ein großer Vorteil. Das Schengen-Abkommen ist ein wichtiger Faktor für die Stärkung der Sicherheit in der Schweiz und die Bekämpfung von Kriminalität.,AGAINST,0,1bd7dcee5bfc,Security
Sollte die von dem Bundesrat vorgeschlagene Verschärfung der Bedingungen für die Zulassung zum Dienst aufgehoben werden?,17574,3461,fr,"Ich unterstütze die Einführung eines kurzen ""Bürgerdienstes"", der Militär- und Zivildienst einschliesst, aber auch andere Formen der Verpflichtungen zugunsten der Gemeinwohls.",AGAINST,25,1bd7dcee5bfc,Security
Sollte die Schweiz mit den Beitrittsverhandlungen zur Europäischen Union beginnen?,17575,3468,fr,"Die Zeit für Beitrittsverhandlungen ist alles andere als optimal. Momentan gilt es, den ""bilateralen Weg"" abzusichern, auszubauen und ihn gegen isolationistische Angriffe zu schützen.",AGAINST,25,1bd7dcee5bfc,Foreign Policy
Sind Sie für die Bewerbung der Schweiz für einen Sitz im UN-Sicherheitsrat?,17576,3471,fr,"Die Schweiz kann eine interessante Erfahrung und Kompetenz in der UNO-Debatte einbringen: mit ihrer Demokratie, der Verteidigung der Menschenrechte, dem Föderalismus und der Dezentralisierung, den Guten Diensten, der Freiheit und Verantwortung.",FAVOR,100,1bd7dcee5bfc,Foreign Policy
"Die Kommission hat sich in der Lage gemacht, die Kommission zu unterstützen, die Kommission zu unterstützen.",17797,3414,fr,"Ich möchte aber lieber Elternurlaub, um die Chancengleichheit zwischen den Geschlechtern zu erreichen.",FAVOR,100,6eb78b0814d4,Welfare
Sollte die Konföderation den Bau von Wohnungen für den öffentlichen Gebrauch weiter fördern?,17798,3417,fr,"Die Konföderation sollte Wohnkooperationen stärker unterstützen, um grünere Wohnungsbau und eine bessere soziale Mischung zu fördern.",FAVOR,100,6eb78b0814d4,Welfare
Soll die Erweiterung des Mobilfunknetzes nach dem 5G-Standard weitergehen?,17799,3446,fr,"Das ist nicht sinnvoll, bevor eine Rückkehr der Kommission dem Verband vorgelegt wird.",AGAINST,0,6eb78b0814d4,Digitisation
Sind Sie für eine Erhöhung des Rentenalters (z.B. auf 67 Jahre)?,18628,3412,fr,Warum nicht in einigen weniger körperlich anspruchsvollen Branchen?,FAVOR,75,037acec2ae7c,Welfare
Sollte der Staat seine finanzielle Unterstützung für die Schaffung von Außengehörigen-Zufluchtseinrichtungen verstärken?,18629,3413,fr,Die Fähigkeiten der Familien und die Betreuung von Kindern innerhalb der Familie müssen gestärkt werden.,AGAINST,25,037acec2ae7c,Welfare
Sollten die Renten der Rente an die Verlängerung der Lebenserwartung angepasst werden (Verringerung des Umrechnungstests)?,18630,3415,fr,"Es muss eine Lösung gefunden werden, um die AVS zu unterstützen, z.B. durch die Verwendung neuer CO2-Steuer.",AGAINST,25,037acec2ae7c,Welfare
Sollte die Konföderation den Bau von Wohnungen für den öffentlichen Gebrauch weiter fördern?,18631,3417,fr,"Nein, wir müssen beginnen, die Betonbau in unserem Land ernsthaft zu begrenzen.",AGAINST,25,037acec2ae7c,Welfare
"Die Integrationsschule sieht vor, Kinder mit Lernschwierigkeiten oder Behinderungen in den normalen Klassen zu schulen.",18633,3426,fr,"Die Prüfung wurde in Genf durchgeführt und ist nicht so positiv, denn die Lehrer sind manchmal (oft) überwältigt von Situationen, die sie nicht bewältigen können und die die Klasse runterziehen.",AGAINST,25,037acec2ae7c,Education
Hat die Einwanderungsbeschränkung für Sie eine Priorität über die Aufrechterhaltung der bilateralen Abkommen mit der EU?,18634,3428,fr,Die Frage ist schwierig: Die Antwort auf diese Frage ist schwierig mit Ja oder Nein. Man muss menschliche Lösungen für die spornigen und oft dringenden Probleme finden.,AGAINST,25,037acec2ae7c,Immigration
Sollten unpapierte Personen einen regelmäßigen Aufenthaltsstatus leichter erhalten können?,18635,3429,fr,"Ich denke, das Papyrus-Projekt in Genf hat sich gut entwickelt, aber wie weit können wir auf der Ebene der Schweiz und in den nächsten 10-20 Jahren gehen?",AGAINST,25,037acec2ae7c,Immigration
"Sind Sie für die Einführung eines Mindestlohns von CHF 4000 für alle Personen, die für eine Vollzeitstelle arbeiten?",18637,3441,fr,"Wie kann eine alleinerziehende Frau mit zwei Kindern, die 80% arbeiten, eine Kindermädchen für 4.000 Euro pro Monat bezahlen ??? Wir müssen realistisch bleiben und die Möglichkeit für die niedrigen Einkommen aufrechterhalten, Hilfen zu erhalten, ohne abgerissen zu werden ...",AGAINST,25,037acec2ae7c,Economy
Soll die Erweiterung des Mobilfunknetzes nach dem 5G-Standard weitergehen?,18638,3446,fr,"Wir müssen auf die Ergebnisse der Expertengruppe warten und vor allem die Gesundheit, die Gesundheit der Bäume und unseres natürlichen Erbes im Allgemeinen beachten.",AGAINST,25,037acec2ae7c,Digitisation
"Eine Initiative fordert, dass die Schweiz ab 2050 nicht mehr fossil benötigt.",18639,3448,fr,"Ich möchte mich nicht zu sehr damit beschäftigen, weil ich nicht weiß, ob das möglich ist, aber es ist möglich, Wasserstofffahrzeuge und andere Fahrzeuge, die nur Wasser abwerfen, auf eine sehr bewusste Weise zu entwickeln.",FAVOR,75,037acec2ae7c,Infrastructure & Environment
"Sollten die Direktzahlungen nur auf den Betrieben gewährt werden, die einen umfangreichen ökologischen Bilanz liefern (z. B. die Verzicht auf die Verwendung von Synthesengewässern und die Einschränkung des Einsatzes von Antibiotika)?",18642,3455,fr,"Die Kommission hat die Kommission mit der Ansicht, daß die Kommission die erforderlichen Maßnahmen zur Verbesserung der Umweltpolitik im Hinblick auf die Verringerung der Gefahr der Gefahr der Gefahr, daß die Umweltverschmutzung in der Gemeinschaft nicht nur in den letzten Jahren, sondern auch in den letzten Jahren eingeschränkt wird, um die Gefahr zu verringern, daß die Umweltverschmutzung in der Gemeinschaft nicht mehr zu einer Verringerung der Gefahr wird.",AGAINST,25,037acec2ae7c,Infrastructure & Environment
Sollten die Maßnahmen zur Biodiversitätsschutz (z. B. strengere Regeln für Bau außerhalb der bestehenden Baugebiete) erweitert werden?,18643,3456,fr,"Das ist unerlässlich, vor allem in Genf, wo wir das Ende unserer biologischen Vielfalt und das Vernichten unserer Böden und ihres ganzen Reichtums erleben werden.",FAVOR,100,037acec2ae7c,Infrastructure & Environment
"Eine Initiative fordert, dass die Verantwortung der Schweizer Unternehmen für die Achtung der Menschenrechte und der Umweltnormen im Ausland verstärkt wird.",18647,3470,fr,"Ich würde ja sagen, wenn es für alle Unternehmen, mit denen wir zusammenarbeiten, und nicht nur für Schweizer Unternehmen der Fall wäre, denn ich sehe darin eine Ungleichheit im Gegensatz zu unseren Unternehmen.",FAVOR,75,037acec2ae7c,Foreign Policy
"Die Kommission hat die Kommission mit der Kommission übermittelt, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit zur Durchführung der Maßnahmen zur Förderung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der",20218,3449,fr,"Es ist nicht möglich, bis wir echte ""grüne"" Ersatzlösungen haben.",AGAINST,25,83b64c54e78a,Infrastructure & Environment
"Die Kommission hat sich in der Lage gemacht, die Kommission zu unterstützen, die Kommission zu unterstützen.",20236,3414,fr,"Ich werde nur auf der Bedingung stehen, dass diese vier Wochen so schnell wie möglich genommen werden, wie die Mutter aus dem Krankenhaus kommt.",AGAINST,0,33618365e04c,Welfare
Sind Sie für eine Erhöhung des Rentenalters (z.B. auf 67 Jahre)?,21545,3412,fr,"Es ist besser, wenn das Rentenalter von der Lebensdauer und dem Beruf abhängt.",FAVOR,75,f5d9681263a8,Welfare
"Die Kommission hat sich in der Lage gemacht, die Kommission zu unterstützen, die Kommission zu unterstützen.",21546,3414,fr,Die Kommission hat die Kommission mit der Kommission über die Durchführung der Maßnahmen zur Förderung der Gleichstellung der Arbeitnehmer und der sozialen Sicherheit in den Mitgliedstaaten aufgestellt.,FAVOR,100,f5d9681263a8,Welfare
"Glauben Sie, dass es gerecht ist, dass Schulen Schulvergünstigungen für bestimmte Themen oder Veranstaltungen (z. B. Sport oder Sexualerziehung) aus religiösen Gründen gewährt?",21548,3424,fr,"Die Schüler sollten das Recht haben, ihre Religion frei auszuüben, aber sie dürfen aus diesem Grund keine Veranstaltungen oder Kurse verpassen.",AGAINST,0,f5d9681263a8,Education
"Die Integrationsschule sieht vor, Kinder mit Lernschwierigkeiten oder Behinderungen in den normalen Klassen zu schulen.",21549,3426,fr,"Die Methode ist zwar interessant, aber sie sollte nicht systematisch angewandt werden.",FAVOR,75,f5d9681263a8,Education
Sollten unpapierte Personen einen regelmäßigen Aufenthaltsstatus leichter erhalten können?,21550,3429,fr,Die Regulierung des Status der Unpapierlosen muss vor allem international diskutiert werden.,FAVOR,75,f5d9681263a8,Immigration
"Sollte die Konföderation die Angebot von öffentlichen Dienstleistungen (z. B. öffentlicher Verkehr, Post) in ländlichen Gebieten stärker unterstützen?",21551,3445,fr,"Um die Menschen in den Vorstädten und ländlichen Gebieten zu entmutigen, eine sauberer CO2-Zukunft zu gestalten, muss die Konföderation die Entwicklung des öffentlichen Verkehrs stärker fördern.",FAVOR,100,f5d9681263a8,Economy
Soll die Erweiterung des Mobilfunknetzes nach dem 5G-Standard weitergehen?,21552,3446,fr,"Die Entwicklung neuer Technologien muß gefördert werden, aber zuerst muß der Grundsatz der Vorsicht angewandt werden.",FAVOR,75,f5d9681263a8,Digitisation
"Glauben Sie, dass es gerecht ist, dass Schulen Schulvergünstigungen für bestimmte Themen oder Veranstaltungen (z. B. Sport oder Sexualerziehung) aus religiösen Gründen gewährt?",22014,3424,fr,"Es kann sich in Ausnahmefällen verteidigen, darf aber nicht zu einer allgemeinen Regel werden.",AGAINST,25,907c7859fef4,Education
Sollte der Konsum von Cannabis legalisiert werden?,22016,3392,fr,"Wenn 10 bis 15 Prozent der Bevölkerung Konsumenten sind, fördert das heutige System nur den Verkehr und die Händler und die Polizei würde riesige Mittel benötigen, um das Gesetz zu halten.",FAVOR,100,907c7859fef4,Society
Sollten Privathaushalte frei ihren Stromversorger wählen können (vollständige Liberalisierung des Strommarktes)?,22018,3440,fr,"Die Auslandsbeispiele zeigen, außer in Norwegen, wo der Verbrauch pro Haushalt durch elektrische Heizung sehr hoch ist, dass die Verwaltungskosten dazu führen, dass Haushalte nach der Liberalisierung teurer bezahlen.",AGAINST,0,907c7859fef4,Economy
Sollte die Schweiz ein Freihandelsabkommen mit den USA schließen?,22019,3469,fr,"Das hängt auch von dem genauen Inhalt des Abkommens ab, zum Beispiel in der Landwirtschaft.",AGAINST,25,907c7859fef4,Foreign Policy
Sind Sie für eine Erhöhung des Rentenalters (z.B. auf 67 Jahre)?,24335,3412,fr,"Die Verlängerung der Lebenserwartung scheint schwierig, nicht zu einer Erhöhung des langfristigen Rentenalters zu führen, aber diese Maßnahme muss in eine umfassende Überlegung des Sozialversicherungssystems sowie des Begriffs Arbeit, der Arbeitsteilung und -verteilung und des Arbeitsinkommens einbezogen werden.",AGAINST,25,27b34c204e9f,Welfare
Sollte der Staat seine finanzielle Unterstützung für die Schaffung von Außengehörigen-Zufluchtseinrichtungen verstärken?,24336,3413,fr,"Die Gleichstellung von Männern und Frauen geht auch durch die Schaffung von Bedingungen, die es den Ehepaaren ermöglichen, ihr Familien- und Berufsleben besser zu vereinbaren, echte persönliche Entscheidungen zu treffen und nicht durchschnittliche Entscheidungen (die viel häufiger dazu führen, dass die Frau ihre Tätigkeit reduziert oder aufhört, da sie im Durchschnitt weniger verdient als ihr Partner).",FAVOR,100,27b34c204e9f,Welfare
"Die Kommission hat sich in der Lage gemacht, die Kommission zu unterstützen, die Kommission zu unterstützen.",24337,3414,fr,"Die nächste Stufe sollte die Einführung eines Elternurlaubs von mindestens sechs Monaten sein, der von den Frauen und Männern und dem Eltern gewünschten Ausgleich verpflichtet ist.",FAVOR,100,27b34c204e9f,Welfare
Sollte der Staat sich stärker für eine Gleichberechtigung der Bildungschancen einsetzen (z.B. durch subventionierte Nachholkurse für Schüler aus niedrigen Einkommen)?,24340,3423,fr,"Nicht nur aufgrund niedriger Einkommen, sondern auch aufgrund der Struktur und der Situation der Familie (z.B. eine Familie, in der ein Elternteil oder ein Kind an einer Krankheit leidet, die erhebliche finanzielle/menschliche Ressourcen benötigt)",FAVOR,100,27b34c204e9f,Education
"Glauben Sie, dass es gerecht ist, dass Schulen Schulvergünstigungen für bestimmte Themen oder Veranstaltungen (z. B. Sport oder Sexualerziehung) aus religiösen Gründen gewährt?",24341,3424,fr,"Es ist wichtig, dass alle Kinder in unsere Gesellschaft integriert werden können, unabhängig von ihrer Religion. Wenn die Regeln zu streng sind, besteht das Risiko, dass Kinder zum Beispiel in private Schulen eingelassen werden und von der Gesellschaft abseits bleiben.",FAVOR,75,27b34c204e9f,Education
Hat die Einwanderungsbeschränkung für Sie eine Priorität über die Aufrechterhaltung der bilateralen Abkommen mit der EU?,24343,3428,fr,"Die Kommission hat die Kommission mit der Ansicht, daß die Kommission die Möglichkeit hat, die Mitgliedstaaten, die Mitgliedstaaten und die Mitgliedstaaten, die in ihrem Rahmen der Einführung von Maßnahmen zur Förderung der Zusammenarbeit im Bereich der Umwelt, der Umwelt und der Umwelt zu unterstützen, zu unterstützen, und die Kommission zu unterstützen, um die Einführung von Maßnahmen zur Verbesserung der Umwelt und der Umwelt zu gewährleisten.",AGAINST,0,27b34c204e9f,Immigration
Sollten die Bedingungen für die Einbürgerung auf dem Vorfeld wiederholt werden?,24344,3431,fr,Die Voraussetzungen für die Erwerb der schweizerischen Staatsangehörigkeit sind ausreichend.,AGAINST,0,27b34c204e9f,Immigration
Sollte der Konsum von Cannabis legalisiert werden?,24345,3392,fr,"Die Kommission hat die Kommission mit der Kommission übermittelt, wie die Kommission die Einhaltung der Richtlinie über die Einhaltung von Vorschriften über die Einhaltung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von Vorschriften über die Einführung von",FAVOR,75,27b34c204e9f,Society
"Glauben Sie, dass die Senkung der Steuern auf Bundesebene eine Priorität für die nächsten vier Jahre ist?",24348,3436,fr,"Wenn die Bundesrepublik in den letzten Jahren ""unerwartete Vorteile"" erzielt hat, ist es nicht die Priorität, Steuern zu senken, sondern die Mittel in die für die Schweiz lebenswichtigen Bereiche zu investieren (Schulungen, Forschung und Innovation, soziale Kohäsion...)",AGAINST,0,27b34c204e9f,Finances
"Sind Sie für die Einführung eines Mindestlohns von CHF 4000 für alle Personen, die für eine Vollzeitstelle arbeiten?",24349,3441,fr,"Es ist wichtig, dass man sicherstellen kann, dass das Einkommen aus 100%-er Arbeit ein würdiges Leben oder ein würdiges Leben für die Familie ermöglicht.",FAVOR,75,27b34c204e9f,Economy
Würden Sie eine vollständige Liberalisierung der Ladenzeit befürworten?,24350,3443,fr,"Es ist nicht sinnvoll, eine bereits ausreichende Angebotszahlung zu erweitern, die die Arbeitsbedingungen der Mitarbeiter des Sektors gefährden könnte.",AGAINST,0,27b34c204e9f,Economy
Sollte der Schutz vor Entlassungen älterer Arbeitnehmer stärker werden?,24351,3444,fr,"Es ist auch notwendig, Maßnahmen zu treffen, um diese Personen in den Fall eines Arbeitsverlusts wieder in die Arbeit zu bringen, insbesondere in Bezug auf Weiterbildung.",FAVOR,75,27b34c204e9f,Economy
